ALDER,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
26 years,5291.0,5830.0,6026.0,6297.0,6267.0,6194.0,6303.0,6550.0,6984.0,7290.0,6976.0,6769.0,6285.0,6069.0,5870.0,6246.0,6525.0
27 years,5401.0,5763.0,6204.0,6469.0,6593.0,6607.0,6718.0,6982.0,7628.0,7707.0,7944.0,7534.0,7211.0,6343.0,6505.0,6863.0,6973.0
28 years,5365.0,5878.0,6159.0,6565.0,6694.0,6850.0,7057.0,7332.0,7961.0,8335.0,8255.0,8445.0,8002.0,7216.0,6666.0,7474.0,7575.0
29 years,5661.0,5704.0,6197.0,6524.0,6711.0,6865.0,7228.0,7643.0,8149.0,8579.0,8790.0,8704.0,8755.0,7899.0,7521.0,7549.0,7988.0
3 years,320.0,422.0,483.0,539.0,593.0,615.0,711.0,860.0,1273.0,1536.0,1574.0,1129.0,740.0,649.0,573.0,1184.0,1262.0
30 years,5568.0,5888.0,5905.0,6401.0,6583.0,6824.0,7163.0,7760.0,8408.0,8677.0,8894.0,9042.0,8921.0,8642.0,8133.0,8461.0,8011.0
31 years,5597.0,5743.0,6068.0,6111.0,6515.0,6632.0,7158.0,7637.0,8531.0,8917.0,8936.0,8996.0,9190.0,8823.0,8830.0,9078.0,8942.0
32 years,5601.0,5776.0,5880.0,6214.0,6257.0,6635.0,6932.0,7553.0,8260.0,8918.0,9225.0,9059.0,9009.0,9104.0,8951.0,9734.0,9477.0
33 years,5926.0,5755.0,5901.0,6067.0,6289.0,6345.0,6877.0,7275.0,8152.0,8636.0,9080.0,9358.0,9103.0,9048.0,9293.0,9990.0,10207.0
34 years,5827.0,6028.0,5897.0,6052.0,6173.0,6394.0,6596.0,7241.0,7819.0,8483.0,8873.0,9218.0,9374.0,9140.0,9246.0,10287.0,10454.0
35 years,5880.0,5903.0,6107.0,6051.0,6096.0,6267.0,6639.0,6876.0,7808.0,8138.0,8733.0,8990.0,9251.0,9408.0,9384.0,10170.0,10685.0
36 years,5543.0,5978.0,5986.0,6229.0,6118.0,6186.0,6417.0,6888.0,7286.0,8077.0,8257.0,8800.0,8924.0,9300.0,9559.0,10328.0,10618.0
37 years,6410.0,5624.0,6029.0,6054.0,6243.0,6197.0,6350.0,6674.0,7264.0,7516.0,8167.0,8286.0,8795.0,9006.0,9495.0,10435.0,10733.0
38 years,6247.0,6490.0,5665.0,6135.0,6070.0,6283.0,6309.0,6565.0,7003.0,7483.0,7612.0,8277.0,8302.0,8824.0,9139.0,10343.0,10798.0
39 years,6271.0,6318.0,6557.0,5740.0,6156.0,6089.0,6406.0,6532.0,6853.0,7166.0,7566.0,7733.0,8283.0,8293.0,8948.0,9983.0,10775.0
4 years,352.0,410.0,514.0,575.0,621.0,726.0,756.0,963.0,1388.0,1771.0,1793.0,1684.0,1232.0,799.0,775.0,1281.0,1369.0
40 years,5850.0,6322.0,6355.0,6613.0,5770.0,6206.0,6214.0,6592.0,6784.0,7003.0,7236.0,7652.0,7725.0,8324.0,8402.0,9683.0,10323.0
41 years,5941.0,5900.0,6341.0,6404.0,6650.0,5802.0,6325.0,6363.0,6852.0,6913.0,7093.0,7289.0,7632.0,7737.0,8416.0,9124.0,9968.0
42 years,5986.0,5998.0,5927.0,6404.0,6403.0,6657.0,5884.0,6488.0,6559.0,6984.0,6971.0,7126.0,7311.0,7689.0,7796.0,9119.0,9398.0
43 years,5956.0,6011.0,5996.0,5962.0,6404.0,6403.0,6740.0,6015.0,6695.0,6673.0,7059.0,7025.0,7122.0,7344.0,7775.0,8374.0,9369.0
44 years,5524.0,6004.0,6034.0,6041.0,5939.0,6405.0,6460.0,6815.0,6190.0,6801.0,6735.0,7093.0,7047.0,7174.0,7401.0,8249.0,8602.0
45 years,5385.0,5529.0,5972.0,6060.0,6043.0,5953.0,6458.0,6520.0,6962.0,6282.0,6834.0,6775.0,7117.0,7089.0,7240.0,7866.0,8455.0
46 years,4798.0,5410.0,5528.0,6002.0,6058.0,6047.0,5996.0,6557.0,6631.0,7036.0,6332.0,6833.0,6772.0,7140.0,7145.0,7646.0,8060.0
47 years,5002.0,4782.0,5394.0,5520.0,5972.0,6074.0,6062.0,6016.0,6677.0,6681.0,7073.0,6366.0,6835.0,6803.0,7186.0,7504.0,7831.0
48 years,4194.0,4995.0,4794.0,5419.0,5515.0,5951.0,6079.0,6120.0,6147.0,6740.0,6724.0,7075.0,6342.0,6869.0,6857.0,7552.0,7661.0
49 years,3953.0,4201.0,4982.0,4803.0,5409.0,5498.0,5954.0,6122.0,6224.0,6202.0,6782.0,6723.0,7070.0,6381.0,6923.0,7172.0,7685.0
5 years,396.0,415.0,486.0,608.0,691.0,730.0,933.0,999.0,1525.0,1857.0,1981.0,1940.0,1798.0,1305.0,883.0,1477.0,1455.0
50 years,3589.0,3954.0,4193.0,4981.0,4784.0,5401.0,5515.0,5989.0,6207.0,6265.0,6229.0,6822.0,6723.0,7076.0,6411.0,7193.0,7255.0
51 years,3552.0,3601.0,3946.0,4183.0,4947.0,4758.0,5416.0,5531.0,6044.0,6237.0,6275.0,6246.0,6808.0,6724.0,7084.0,6630.0,7280.0
52 years,3278.0,3573.0,3586.0,3945.0,4167.0,4913.0,4772.0,5411.0,5558.0,6076.0,6255.0,6267.0,6226.0,6792.0,6746.0,7339.0,6751.0
53 years,2935.0,3269.0,3564.0,3583.0,3947.0,4147.0,4901.0,4789.0,5418.0,5569.0,6078.0,6259.0,6262.0,6228.0,6789.0,6918.0,7387.0
54 years,2670.0,2927.0,3266.0,3553.0,3563.0,3948.0,4132.0,4935.0,4815.0,5442.0,5597.0,6085.0,6224.0,6259.0,6233.0,6987.0,6964.0
55 years,2520.0,2662.0,2914.0,3254.0,3535.0,3548.0,3964.0,4127.0,4966.0,4819.0,5423.0,5571.0,6057.0,6196.0,6237.0,6459.0,7056.0
56 years,2098.0,2520.0,2656.0,2894.0,3229.0,3514.0,3538.0,3956.0,4146.0,4976.0,4811.0,5422.0,5547.0,6042.0,6186.0,6406.0,6497.0
57 years,2203.0,2093.0,2519.0,2636.0,2877.0,3190.0,3505.0,3529.0,3954.0,4161.0,4963.0,4801.0,5374.0,5534.0,6028.0,6341.0,6411.0
58 years,2015.0,2185.0,2084.0,2511.0,2616.0,2845.0,3177.0,3493.0,3522.0,3956.0,4138.0,4938.0,4783.0,5349.0,5523.0,6224.0,6338.0
59 years,1905.0,2009.0,2187.0,2073.0,2488.0,2602.0,2836.0,3189.0,3504.0,3500.0,3947.0,4144.0,4911.0,4773.0,5326.0,5732.0,6201.0
6 years,447.0,455.0,453.0,559.0,704.0,784.0,923.0,1171.0,1560.0,1902.0,2046.0,2093.0,1993.0,1857.0,1378.0,1630.0,1615.0
60 years,1821.0,1900.0,1999.0,2175.0,2060.0,2459.0,2602.0,2834.0,3176.0,3509.0,3488.0,3919.0,4116.0,4881.0,4736.0,5569.0,5735.0
61 years,1655.0,1813.0,1879.0,1969.0,2149.0,2040.0,2437.0,2585.0,2815.0,3157.0,3483.0,3467.0,3882.0,4115.0,4851.0,4976.0,5596.0
62 years,1547.0,1632.0,1787.0,1866.0,1953.0,2137.0,2035.0,2431.0,2581.0,2822.0,3133.0,3459.0,3444.0,3843.0,4094.0,5063.0,4962.0
63 years,1378.0,1536.0,1613.0,1762.0,1839.0,1934.0,2127.0,2027.0,2415.0,2581.0,2800.0,3115.0,3427.0,3416.0,3821.0,4310.0,5064.0
64 years,1258.0,1365.0,1509.0,1586.0,1732.0,1825.0,1918.0,2123.0,2032.0,2407.0,2563.0,2763.0,3096.0,3381.0,3390.0,4023.0,4314.0
65 years,1172.0,1250.0,1339.0,1482.0,1555.0,1707.0,1811.0,1915.0,2104.0,2016.0,2381.0,2547.0,2744.0,3074.0,3335.0,3577.0,4017.0
66 years,1085.0,1170.0,1236.0,1318.0,1462.0,1522.0,1671.0,1805.0,1887.0,2079.0,2005.0,2353.0,2499.0,2722.0,3041.0,3521.0,3572.0
67 years,1102.0,1061.0,1160.0,1203.0,1281.0,1440.0,1499.0,1650.0,1785.0,1860.0,2043.0,1977.0,2322.0,2464.0,2683.0,3202.0,3510.0
68 years,969.0,1073.0,1042.0,1131.0,1158.0,1248.0,1420.0,1478.0,1638.0,1768.0,1822.0,2016.0,1947.0,2294.0,2432.0,2827.0,3182.0
69 years,876.0,949.0,1050.0,1015.0,1094.0,1145.0,1232.0,1406.0,1461.0,1607.0,1748.0,1792.0,1976.0,1910.0,2260.0,2523.0,2811.0
